check1=( 1.000e+000), check2=(6.798e-002), dist=0.12684013810289
check1=( 2.971e-001), check2=(3.447e-001), dist=2.23051157025285
check1=( 9.029e-002), check2=(2.957e-001), dist=1.70615786585389
check1=( 2.651e-002), check2=(1.550e-001), dist=1.74922290560526
check1=( 9.104e-003), check2=(9.206e-002), dist=1.76504733116460
check1=( 3.283e-003), check2=(5.486e-002), dist=1.76961386929595
check1=( 1.206e-003), check2=(3.323e-002), dist=1.77140579693016
check1=( 4.309e-004), check2=(2.007e-002), dist=1.77203721768798
check1=( 1.609e-004), check2=(1.217e-002), dist=1.77226103493193
check1=( 6.307e-005), check2=(7.368e-003), dist=1.77234521182067
check1=( 2.480e-005), check2=(4.465e-003), dist=1.77238186651024
check1=( 5.911e-007), check2=(2.705e-003), dist=1.77239745798248
check1=( 6.626e-007), check2=(5.306e-004), dist=1.77239299311911
